               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.030057,           0.0083731,                   0,             0.93226,             0.93425,             0.96451,             0.54458,            0.024016,           0.0061064,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.030713,           0.0082286,                   0,             0.94581,             0.91533,             0.96056,             0.53039,            0.024969,           0.0062189,                   0,            0.003796,            0.003796,            0.003796
                  96,             0.03055,           0.0084327,                   0,             0.94036,             0.91892,              0.9636,             0.53126,             0.02514,           0.0062038,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.030628,           0.0082642,                   0,             0.94267,             0.92856,             0.96337,             0.54566,            0.024089,           0.0060854,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.029877,           0.0081293,                   0,             0.94064,             0.93183,             0.96388,             0.54107,            0.024174,           0.0061148,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.030541,           0.0084468,                   0,             0.94134,             0.91926,             0.95976,             0.53243,            0.024648,           0.0061718,                   0,            0.003532,            0.003532,            0.003532
                 100,            0.030341,           0.0083329,                   0,             0.93507,             0.92457,               0.961,             0.52327,            0.025027,           0.0061608,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.029717,           0.0081439,                   0,             0.95096,             0.92311,             0.96792,              0.5389,             0.02467,           0.0060838,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.029146,            0.008113,                   0,             0.94201,               0.937,               0.966,               0.537,            0.024639,           0.0060973,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.029268,           0.0081851,                   0,              0.9381,             0.92739,              0.9653,             0.53525,            0.024946,           0.0061299,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.029206,           0.0081609,                   0,              0.9424,             0.93425,             0.96953,             0.54623,            0.024352,           0.0060461,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.029625,            0.008276,                   0,             0.94615,             0.93505,             0.97012,             0.55486,             0.02375,           0.0059866,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.029243,           0.0080082,                   0,             0.94796,             0.93325,              0.9667,             0.54709,            0.024352,           0.0060642,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.028991,           0.0080053,                   0,             0.94825,             0.93465,             0.97034,              0.5509,            0.024144,            0.005995,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.029057,           0.0080708,                   0,              0.9388,             0.93828,             0.96865,             0.54756,            0.024451,           0.0060394,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.028881,           0.0081575,                   0,             0.94535,             0.93509,             0.96902,              0.5428,            0.024514,           0.0060434,                   0,            0.002872,            0.002872,            0.002872
                 110,            0.028911,           0.0079749,                   0,             0.94592,             0.93828,             0.97247,             0.55112,            0.024281,           0.0059949,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.028669,           0.0080843,                   0,             0.94521,             0.94636,             0.97306,             0.55454,            0.024052,           0.0059477,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.028994,           0.0080036,                   0,             0.94144,             0.94035,             0.97185,             0.55983,            0.023554,           0.0059455,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.028206,           0.0078279,                   0,             0.93649,             0.93981,             0.96664,             0.54615,            0.024089,           0.0060079,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.028193,            0.007667,                   0,             0.94426,             0.93628,             0.96964,             0.55014,             0.02431,             0.00602,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.027863,           0.0078274,                   0,             0.94067,             0.93788,             0.96992,             0.55245,            0.024135,           0.0060163,                   0,            0.002476,            0.002476,            0.002476
